city_name,year,month,pct_high_radiation
Badulla,2010,12,38.7
Badulla,2011,1,45.2
Badulla,2011,2,57.1
Badulla,2011,3,90.3
Badulla,2011,4,90.0
Badulla,2011,5,100.0
Badulla,2011,6,96.7
Badulla,2011,7,100.0
Badulla,2011,8,90.3
Badulla,2011,9,96.7
Badulla,2011,10,80.6
Badulla,2011,11,56.7
Badulla,2011,12,58.1
Badulla,2012,1,96.8
Badulla,2012,2,82.8
Badulla,2012,3,100.0
Badulla,2012,4,93.3
Badulla,2012,5,100.0
Badulla,2012,6,100.0
Badulla,2012,7,100.0
Badulla,2012,8,100.0
Badulla,2012,9,96.7
Badulla,2012,10,64.5
Badulla,2012,11,53.3
Badulla,2012,12,45.2
Badulla,2013,1,58.1
Badulla,2013,2,82.1
Badulla,2013,3,93.5
Badulla,2013,4,96.7
Badulla,2013,5,83.9
Badulla,2013,6,80.0
Badulla,2013,7,100.0
Badulla,2013,8,96.8
Badulla,2013,9,90.0
Badulla,2013,10,87.1
Badulla,2013,11,80.0
Badulla,2013,12,61.3
Badulla,2014,1,74.2
Badulla,2014,2,100.0
Badulla,2014,3,96.8
Badulla,2014,4,93.3
Badulla,2014,5,93.5
Badulla,2014,6,93.3
Badulla,2014,7,96.8
Badulla,2014,8,96.8
Badulla,2014,9,100.0
Badulla,2014,10,77.4
Badulla,2014,11,60.0
Badulla,2014,12,38.7
Badulla,2015,1,83.9
Badulla,2015,2,89.3
Badulla,2015,3,93.5
Badulla,2015,4,93.3
Badulla,2015,5,93.5
Badulla,2015,6,96.7
Badulla,2015,7,93.5
Badulla,2015,8,90.3
Badulla,2015,9,86.7
Badulla,2015,10,61.3
Badulla,2015,11,56.7
Badulla,2015,12,51.6
Badulla,2016,1,90.3
Badulla,2016,2,89.7
Badulla,2016,3,100.0
Badulla,2016,4,100.0
Badulla,2016,5,67.7
Badulla,2016,6,96.7
Badulla,2016,7,93.5
Badulla,2016,8,93.5
Badulla,2016,9,100.0
Badulla,2016,10,96.8
Badulla,2016,11,40.0
Badulla,2016,12,83.9
Badulla,2017,1,64.5
Badulla,2017,2,78.6
Badulla,2017,3,90.3
Badulla,2017,4,100.0
Badulla,2017,5,93.5
Badulla,2017,6,90.0
Badulla,2017,7,100.0
Badulla,2017,8,93.5
Badulla,2017,9,80.0
Badulla,2017,10,74.2
Badulla,2017,11,40.0
Badulla,2017,12,54.8
Badulla,2018,1,74.2
Badulla,2018,2,78.6
Badulla,2018,3,80.6
Badulla,2018,4,93.3
Badulla,2018,5,77.4
Badulla,2018,6,100.0
Badulla,2018,7,96.8
Badulla,2018,8,83.9
Badulla,2018,9,93.3
Badulla,2018,10,61.3
Badulla,2018,11,56.7
Badulla,2018,12,61.3
Badulla,2019,1,61.3
Badulla,2019,2,71.4
Badulla,2019,3,96.8
Badulla,2019,4,90.0
Badulla,2019,5,100.0
Badulla,2019,6,96.7
Badulla,2019,7,96.8
Badulla,2019,8,71.0
Badulla,2019,9,86.7
Badulla,2019,10,48.4
Badulla,2019,11,73.3
Badulla,2019,12,38.7
Badulla,2020,1,93.5
Badulla,2020,2,89.7
Badulla,2020,3,96.8
Badulla,2020,4,100.0
Badulla,2020,5,90.3
Badulla,2020,6,86.7
Badulla,2020,7,87.1
Badulla,2020,8,93.5
Badulla,2020,9,70.0
Badulla,2020,10,96.8
Badulla,2020,11,63.3
Badulla,2020,12,58.1
Badulla,2021,1,35.5
Badulla,2021,2,85.7
Badulla,2021,3,80.6
Badulla,2021,4,93.3
Badulla,2021,5,77.4
Badulla,2021,6,90.0
Badulla,2021,7,93.5
Badulla,2021,8,83.9
Badulla,2021,9,86.7
Badulla,2021,10,74.2
Badulla,2021,11,40.0
Badulla,2021,12,80.6
Badulla,2022,1,71.0
Badulla,2022,2,82.1
Badulla,2022,3,93.5
Badulla,2022,4,80.0
Badulla,2022,5,87.1
Badulla,2022,6,93.3
Badulla,2022,7,83.9
Badulla,2022,8,80.6
Badulla,2022,9,93.3
Badulla,2022,10,77.4
Badulla,2022,11,63.3
Badulla,2022,12,51.6
Badulla,2023,1,71.0
Badulla,2023,2,75.0
Badulla,2023,3,77.4
Badulla,2023,4,96.7
Badulla,2023,5,87.1
Badulla,2023,6,100.0
Badulla,2023,7,90.3
Badulla,2023,8,100.0
Badulla,2023,9,90.0
Badulla,2023,10,58.1
Badulla,2023,11,40.0
Badulla,2023,12,38.7
Badulla,2024,1,67.7
Badulla,2024,2,93.1
Badulla,2024,3,100.0
Badulla,2024,4,96.7
Badulla,2024,5,83.9
Badulla,2024,6,87.5
Bandarawela,2010,1,74.2
Bandarawela,2010,2,82.1
Bandarawela,2010,3,100.0
Bandarawela,2010,4,93.3
Bandarawela,2010,5,87.1
Bandarawela,2010,6,90.0
Bandarawela,2010,7,87.1
Bandarawela,2010,8,77.4
Bandarawela,2010,9,70.0
Bandarawela,2010,10,77.4
Bandarawela,2010,11,50.0
Bandarawela,2010,12,41.9
Bandarawela,2011,1,32.3
Bandarawela,2011,2,57.1
Bandarawela,2011,3,90.3
Bandarawela,2011,4,86.7
Bandarawela,2011,5,100.0
Bandarawela,2011,6,96.7
Bandarawela,2011,7,100.0
Bandarawela,2011,8,93.5
Bandarawela,2011,9,96.7
Bandarawela,2011,10,74.2
Bandarawela,2011,11,53.3
Bandarawela,2011,12,54.8
Bandarawela,2012,1,83.9
Bandarawela,2012,2,75.9
Bandarawela,2012,3,100.0
