City,Year,Month,TotalPrecipitation,MeanTemperature
Gampaha,2015,05,433.0,26.95806451612903
Gampaha,2015,06,430.0,26.74333333333334
Gampaha,2015,07,422.0,26.59032258064516
Gampaha,2015,08,412.0,26.51612903225806
Gampaha,2015,09,477.0,26.066666666666674
Gampaha,2016,10,314.0,26.306451612903224
Gampaha,2019,03,131.0,27.564516129032253
Gampaha,2019,04,248.0,27.993333333333343
Gampaha,2016,12,98.0,26.054838709677423
Gampaha,2019,01,71.0,26.770967741935483
Gampaha,2016,11,293.0,25.846666666666668
Gampaha,2019,02,187.0,26.842857142857145
Gampaha,2019,07,445.0,26.92258064516129
Gampaha,2019,08,618.0,26.190322580645155
Gampaha,2019,05,460.0,27.587096774193547
Gampaha,2019,06,582.0,27.359999999999996
Gampaha,2016,07,397.0,26.45483870967742
Gampaha,2016,06,452.0,26.716666666666672
Gampaha,2016,09,402.0,26.193333333333328
Gampaha,2016,08,394.0,26.451612903225808
Gampaha,2013,09,472.0,25.790000000000006
Gampaha,2013,08,360.0,26.06774193548386
Gampaha,2016,01,34.0,27.283870967741937
Gampaha,2013,07,446.0,25.922580645161293
Gampaha,2013,06,593.0,25.773333333333326
Gampaha,2016,03,116.0,29.26451612903226
Gampaha,2013,05,457.0,26.819354838709675
Gampaha,2016,02,60.0,28.45172413793103
Gampaha,2010,11,420.0,25.483333333333338
Gampaha,2013,04,228.0,27.666666666666668
Gampaha,2016,05,501.0,27.01290322580645
Gampaha,2010,12,350.0,24.75483870967742
Gampaha,2013,03,216.0,27.00322580645161
Gampaha,2016,04,167.0,28.946666666666665
Gampaha,2013,12,154.0,25.435483870967747
Gampaha,2013,11,173.0,25.880000000000003
Gampaha,2013,10,442.0,25.967741935483872
Gampaha,2017,02,53.0,26.192857142857147
Gampaha,2014,10,464.0,25.761290322580646
Gampaha,2017,01,114.0,25.99032258064516
Gampaha,2014,11,329.0,25.526666666666664
Gampaha,2017,04,316.0,27.466666666666658
Gampaha,2014,12,345.0,25.11612903225806
Gampaha,2017,03,214.0,26.61935483870968
Gampaha,2017,06,543.0,26.503333333333334
Gampaha,2011,12,189.0,25.474193548387095
Gampaha,2017,05,464.0,27.08387096774194
Gampaha,2014,04,279.0,27.21999999999999
Gampaha,2014,05,352.0,26.970967741935485
Gampaha,2014,06,448.0,26.966666666666676
Gampaha,2014,07,457.0,26.551612903225802
Gampaha,2014,08,473.0,26.029032258064518
Gampaha,2014,09,469.0,25.98
Gampaha,2019,10,451.0,25.325806451612905
Gampaha,2019,11,349.0,25.780000000000005
Gampaha,2011,09,408.0,26.19
Gampaha,2011,08,511.0,25.999999999999996
Gampaha,2011,07,511.0,26.099999999999998
Gampaha,2011,06,432.0,26.650000000000002
Gampaha,2019,12,250.0,25.82903225806451
Gampaha,2011,05,404.0,26.75161290322581
Gampaha,2011,04,337.0,26.576666666666668
Gampaha,2011,03,158.0,26.890322580645158
Gampaha,2014,01,61.0,26.119354838709686
Gampaha,2011,02,160.0,25.46428571428572
Gampaha,2014,02,34.0,27.889285714285712
Gampaha,2011,01,180.0,24.667741935483864
Gampaha,2014,03,88.0,28.816129032258072
Gampaha,2011,11,264.0,25.893333333333327
Gampaha,2011,10,360.0,26.135483870967747
Gampaha,2019,09,568.0,25.879999999999985
Kilinochchi,2014,08,94.0,28.67096774193549
Kilinochchi,2014,09,86.0,28.926666666666662
Kilinochchi,2014,06,10.0,30.38
Kilinochchi,2014,07,17.0,29.825806451612902
Kilinochchi,2011,10,326.0,27.477419354838716
Kilinochchi,2014,04,35.0,29.26666666666667
Kilinochchi,2011,11,409.0,25.786666666666672
Kilinochchi,2014,05,108.0,28.890322580645158
Kilinochchi,2011,12,235.0,25.358064516129033
Kilinochchi,2014,02,76.0,25.678571428571427
Kilinochchi,2014,03,36.0,27.622580645161282
Kilinochchi,2014,01,256.0,24.658064516129034
Kilinochchi,2011,07,73.0,28.89677419354838
Kilinochchi,2011,08,79.0,28.64193548387096
Kilinochchi,2011,09,35.0,29.016666666666662
Kilinochchi,2011,03,71.0,27.14838709677419
Kilinochchi,2011,04,179.0,27.91666666666667
Kilinochchi,2011,05,8.0,29.232258064516127
Kilinochchi,2011,06,12.0,29.70333333333333
Kilinochchi,2011,01,367.0,24.58387096774194
Kilinochchi,2011,02,197.0,25.23928571428572
Kilinochchi,2016,12,203.0,25.441935483870967
Kilinochchi,2016,11,314.0,26.27
Kilinochchi,2019,03,29.0,28.0
Kilinochchi,2019,04,66.0,29.370000000000005
Kilinochchi,2019,05,25.0,30.75806451612904
Kilinochchi,2019,06,24.0,30.62
Kilinochchi,2019,07,40.0,29.874193548387094
Kilinochchi,2019,08,97.0,29.025806451612898
Kilinochchi,2019,09,131.0,28.693333333333342
Kilinochchi,2012,09,44.0,29.276666666666674
Kilinochchi,2012,08,38.0,29.003225806451617
Kilinochchi,2012,05,4.0,29.983870967741932
Kilinochchi,2012,04,81.0,28.89666666666667
Kilinochchi,2012,07,22.0,29.490322580645163
Kilinochchi,2012,06,4.0,29.64
