district,year,season,avg_evapotranspiration
Jaffna,2011,Apr-Aug,5.32
Jaffna,2011,Sep-Mar,4.18
Jaffna,2012,Apr-Aug,5.6
Jaffna,2012,Sep-Mar,4.6
Jaffna,2013,Apr-Aug,5.41
Jaffna,2013,Sep-Mar,4.54
Jaffna,2014,Apr-Aug,5.53
Jaffna,2014,Sep-Mar,4.28
Jaffna,2015,Apr-Aug,5.16
Jaffna,2015,Sep-Mar,4.32
Jaffna,2016,Apr-Aug,5.27
Jaffna,2016,Sep-Mar,4.87
Jaffna,2017,Apr-Aug,5.3
Jaffna,2017,Sep-Mar,4.05
Jaffna,2018,Apr-Aug,4.93
Jaffna,2018,Sep-Mar,4.03
Jaffna,2019,Apr-Aug,5.28
Jaffna,2019,Sep-Mar,4.17
Jaffna,2020,Apr-Aug,4.93
Jaffna,2020,Sep-Mar,4.25
Jaffna,2021,Apr-Aug,4.95
Jaffna,2021,Sep-Mar,3.99
Jaffna,2022,Apr-Aug,4.86
Jaffna,2022,Sep-Mar,4.17
Jaffna,2023,Apr-Aug,5.18
Jaffna,2023,Sep-Mar,4.25
Jaffna,2024,Apr-Aug,5.12
Jaffna,2024,Sep-Mar,5.07
Kalutara,2010,Apr-Aug,3.26
Kalutara,2010,Sep-Mar,3.54
Kalutara,2011,Apr-Aug,3.46
Kalutara,2011,Sep-Mar,3.49
Kalutara,2012,Apr-Aug,3.5
Kalutara,2012,Sep-Mar,3.66
Kalutara,2013,Apr-Aug,3.43
Kalutara,2013,Sep-Mar,3.61
Kalutara,2014,Apr-Aug,3.5
Kalutara,2014,Sep-Mar,3.71
Kalutara,2015,Apr-Aug,3.59
Kalutara,2015,Sep-Mar,3.62
Kalutara,2016,Apr-Aug,3.58
Kalutara,2016,Sep-Mar,3.97
Kalutara,2017,Apr-Aug,3.82
Kalutara,2017,Sep-Mar,3.79
Kalutara,2018,Apr-Aug,3.62
Kalutara,2018,Sep-Mar,3.89
Kalutara,2019,Apr-Aug,3.81
Kalutara,2019,Sep-Mar,3.72
Kalutara,2020,Apr-Aug,3.76
Kalutara,2020,Sep-Mar,3.97
Kalutara,2021,Apr-Aug,3.8
Kalutara,2021,Sep-Mar,3.71
Kalutara,2022,Apr-Aug,3.79
Kalutara,2022,Sep-Mar,3.98
Kalutara,2023,Apr-Aug,4.01
Kalutara,2023,Sep-Mar,3.65
Kalutara,2024,Apr-Aug,4.01
Kalutara,2024,Sep-Mar,4.54
Kandy,2010,Apr-Aug,3.46
Kandy,2010,Sep-Mar,3.39
Kandy,2011,Apr-Aug,3.81
Kandy,2011,Sep-Mar,3.27
Kandy,2012,Apr-Aug,3.99
Kandy,2012,Sep-Mar,3.58
Kandy,2013,Apr-Aug,3.53
Kandy,2013,Sep-Mar,3.35
Kandy,2014,Apr-Aug,3.73
Kandy,2014,Sep-Mar,3.38
Kandy,2015,Apr-Aug,3.77
Kandy,2015,Sep-Mar,3.44
Kandy,2016,Apr-Aug,3.74
Kandy,2016,Sep-Mar,3.91
Kandy,2017,Apr-Aug,3.87
Kandy,2017,Sep-Mar,3.77
Kandy,2018,Apr-Aug,3.5
Kandy,2018,Sep-Mar,3.87
Kandy,2019,Apr-Aug,4.04
Kandy,2019,Sep-Mar,3.77
Kandy,2020,Apr-Aug,3.86
Kandy,2020,Sep-Mar,4.05
Kandy,2021,Apr-Aug,3.61
Kandy,2021,Sep-Mar,3.63
Kandy,2022,Apr-Aug,3.63
Kandy,2022,Sep-Mar,3.82
Kandy,2023,Apr-Aug,4.25
Kandy,2023,Sep-Mar,3.62
Kandy,2024,Apr-Aug,4.24
Kandy,2024,Sep-Mar,4.71
Kegalle,2010,Apr-Aug,3.32
Kegalle,2010,Sep-Mar,3.55
Kegalle,2011,Apr-Aug,3.53
Kegalle,2011,Sep-Mar,3.41
Kegalle,2012,Apr-Aug,3.67
Kegalle,2012,Sep-Mar,3.72
Kegalle,2013,Apr-Aug,3.38
Kegalle,2013,Sep-Mar,3.55
Kegalle,2014,Apr-Aug,3.53
Kegalle,2014,Sep-Mar,3.65
Kegalle,2015,Apr-Aug,3.59
Kegalle,2015,Sep-Mar,3.66
Kegalle,2016,Apr-Aug,3.61
Kegalle,2016,Sep-Mar,4.11
Kegalle,2017,Apr-Aug,3.54
Kegalle,2017,Sep-Mar,3.84
Kegalle,2018,Apr-Aug,3.35
Kegalle,2018,Sep-Mar,3.98
Kegalle,2019,Apr-Aug,3.72
Kegalle,2019,Sep-Mar,3.95
Kegalle,2020,Apr-Aug,3.7
Kegalle,2020,Sep-Mar,4.1
Kegalle,2021,Apr-Aug,3.5
Kegalle,2021,Sep-Mar,3.74
Kegalle,2022,Apr-Aug,3.55
Kegalle,2022,Sep-Mar,3.96
Kegalle,2023,Apr-Aug,4.16
Kegalle,2023,Sep-Mar,3.74
Kegalle,2024,Apr-Aug,4.12
Kegalle,2024,Sep-Mar,4.91
Kilinochchi,2010,Apr-Aug,5.48
Kilinochchi,2010,Sep-Mar,4.26
Kilinochchi,2011,Apr-Aug,5.63
Kilinochchi,2011,Sep-Mar,4.05
Kilinochchi,2012,Apr-Aug,6.21
Kilinochchi,2012,Sep-Mar,4.47
Kilinochchi,2013,Apr-Aug,5.75
Kilinochchi,2013,Sep-Mar,4.44
Kilinochchi,2014,Apr-Aug,5.89
Kilinochchi,2014,Sep-Mar,4.13
Kilinochchi,2015,Apr-Aug,5.45
Kilinochchi,2015,Sep-Mar,4.13
Kilinochchi,2016,Apr-Aug,5.52
Kilinochchi,2016,Sep-Mar,4.78
Kilinochchi,2017,Apr-Aug,5.98
Kilinochchi,2017,Sep-Mar,4.07
Kilinochchi,2018,Apr-Aug,5.65
Kilinochchi,2018,Sep-Mar,4.06
Kilinochchi,2019,Apr-Aug,6.04
Kilinochchi,2019,Sep-Mar,4.2
Kilinochchi,2020,Apr-Aug,5.38
Kilinochchi,2020,Sep-Mar,4.41
Kilinochchi,2021,Apr-Aug,5.37
Kilinochchi,2021,Sep-Mar,4.03
Kilinochchi,2022,Apr-Aug,5.31
Kilinochchi,2022,Sep-Mar,4.2
Kilinochchi,2023,Apr-Aug,5.79
Kilinochchi,2023,Sep-Mar,4.2
Kilinochchi,2024,Apr-Aug,5.16
Kilinochchi,2024,Sep-Mar,4.83
Kurunegala,2010,Apr-Aug,3.57
Kurunegala,2010,Sep-Mar,3.71
Kurunegala,2011,Apr-Aug,3.86
Kurunegala,2011,Sep-Mar,3.55
Kurunegala,2012,Apr-Aug,4.09
Kurunegala,2012,Sep-Mar,3.94
Kurunegala,2013,Apr-Aug,3.64
Kurunegala,2013,Sep-Mar,3.68
Kurunegala,2014,Apr-Aug,3.82
Kurunegala,2014,Sep-Mar,3.74
Kurunegala,2015,Apr-Aug,3.87
Kurunegala,2015,Sep-Mar,3.79
Kurunegala,2016,Apr-Aug,3.9
Kurunegala,2016,Sep-Mar,4.36
Kurunegala,2017,Apr-Aug,3.76
Kurunegala,2017,Sep-Mar,3.92
Kurunegala,2018,Apr-Aug,3.55
Kurunegala,2018,Sep-Mar,4.03
Kurunegala,2019,Apr-Aug,3.96
Kurunegala,2019,Sep-Mar,4.02
Kurunegala,2020,Apr-Aug,3.83
Kurunegala,2020,Sep-Mar,4.15
Kurunegala,2021,Apr-Aug,3.63
Kurunegala,2021,Sep-Mar,3.81
Kurunegala,2022,Apr-Aug,3.77
Kurunegala,2022,Sep-Mar,4.03
Kurunegala,2023,Apr-Aug,4.38
Kurunegala,2023,Sep-Mar,3.84
Kurunegala,2024,Apr-Aug,4.25
Kurunegala,2024,Sep-Mar,5.09
Mannar,2010,Apr-Aug,4.94
Mannar,2010,Sep-Mar,4.22
Mannar,2011,Apr-Aug,5.04
Mannar,2011,Sep-Mar,3.97
Mannar,2012,Apr-Aug,5.5
Mannar,2012,Sep-Mar,4.44
Mannar,2013,Apr-Aug,5.24
Mannar,2013,Sep-Mar,4.37
Mannar,2014,Apr-Aug,5.35
Mannar,2014,Sep-Mar,4.15
Mannar,2015,Apr-Aug,5.0
Mannar,2015,Sep-Mar,4.05
Mannar,2016,Apr-Aug,5.05
Mannar,2016,Sep-Mar,4.71
Mannar,2017,Apr-Aug,5.64
Mannar,2017,Sep-Mar,4.44
Mannar,2018,Apr-Aug,5.21
Mannar,2018,Sep-Mar,4.3
Mannar,2019,Apr-Aug,5.66
Mannar,2019,Sep-Mar,4.32
Mannar,2020,Apr-Aug,5.32
Mannar,2020,Sep-Mar,4.76
Mannar,2021,Apr-Aug,5.33
Mannar,2021,Sep-Mar,4.27
Mannar,2022,Apr-Aug,5.27
Mannar,2022,Sep-Mar,4.52
Mannar,2023,Apr-Aug,5.57
Mannar,2023,Sep-Mar,4.49
Mannar,2024,Apr-Aug,5.03
Mannar,2024,Sep-Mar,5.23
Matale,2010,Apr-Aug,3.85
Matale,2010,Sep-Mar,3.57
Matale,2011,Apr-Aug,4.28
Matale,2011,Sep-Mar,3.46
Matale,2012,Apr-Aug,4.53
Matale,2012,Sep-Mar,3.79
Matale,2013,Apr-Aug,3.96
Matale,2013,Sep-Mar,3.55
Matale,2014,Apr-Aug,4.2
Matale,2014,Sep-Mar,3.51
Matale,2015,Apr-Aug,4.18
Matale,2015,Sep-Mar,3.59
Matale,2016,Apr-Aug,4.18
Matale,2016,Sep-Mar,4.17
Matale,2017,Apr-Aug,3.67
Matale,2017,Sep-Mar,3.73
Matale,2018,Apr-Aug,3.39
Matale,2018,Sep-Mar,3.86
Matale,2019,Apr-Aug,3.86
Matale,2019,Sep-Mar,3.86
Matale,2020,Apr-Aug,3.73
Matale,2020,Sep-Mar,3.97
Matale,2021,Apr-Aug,3.52
Matale,2021,Sep-Mar,3.64
Matale,2022,Apr-Aug,3.62
Matale,2022,Sep-Mar,3.84
Matale,2023,Apr-Aug,4.24
Matale,2023,Sep-Mar,3.7
Matale,2024,Apr-Aug,4.19
Matale,2024,Sep-Mar,4.78
Matara,2010,Apr-Aug,3.76
Matara,2010,Sep-Mar,3.91
Matara,2011,Apr-Aug,3.94
Matara,2011,Sep-Mar,3.8
Matara,2012,Apr-Aug,4.0
Matara,2012,Sep-Mar,3.89
Matara,2013,Apr-Aug,3.95
Matara,2013,Sep-Mar,3.85
Matara,2014,Apr-Aug,3.97
Matara,2014,Sep-Mar,4.05
Matara,2015,Apr-Aug,4.03
Matara,2015,Sep-Mar,3.87
Matara,2016,Apr-Aug,3.96
Matara,2016,Sep-Mar,4.24
Matara,2017,Apr-Aug,3.99
Matara,2017,Sep-Mar,3.93
Matara,2018,Apr-Aug,3.73
Matara,2018,Sep-Mar,3.9
Matara,2019,Apr-Aug,3.93
Matara,2019,Sep-Mar,3.79
Matara,2020,Apr-Aug,3.84
Matara,2020,Sep-Mar,4.23
Matara,2021,Apr-Aug,3.98
Matara,2021,Sep-Mar,3.84
Matara,2022,Apr-Aug,4.13
Matara,2022,Sep-Mar,4.08
Matara,2023,Apr-Aug,4.34
Matara,2023,Sep-Mar,3.8
Matara,2024,Apr-Aug,4.16
Matara,2024,Sep-Mar,4.67
Moneragala,2010,Apr-Aug,4.27
Moneragala,2010,Sep-Mar,3.67
Moneragala,2011,Apr-Aug,4.58
Moneragala,2011,Sep-Mar,3.43
Moneragala,2012,Apr-Aug,5.0
Moneragala,2012,Sep-Mar,3.76
Moneragala,2013,Apr-Aug,4.46
Moneragala,2013,Sep-Mar,3.64
Moneragala,2014,Apr-Aug,4.59
Moneragala,2014,Sep-Mar,3.54
Moneragala,2015,Apr-Aug,4.52
Moneragala,2015,Sep-Mar,3.58
Moneragala,2016,Apr-Aug,4.53
Moneragala,2016,Sep-Mar,4.08
Moneragala,2017,Apr-Aug,5.05
Moneragala,2017,Sep-Mar,3.99
Moneragala,2018,Apr-Aug,4.56
Moneragala,2018,Sep-Mar,3.93
Moneragala,2019,Apr-Aug,5.23
Moneragala,2019,Sep-Mar,3.84
Moneragala,2020,Apr-Aug,4.64
Moneragala,2020,Sep-Mar,4.25
Moneragala,2021,Apr-Aug,4.63
Moneragala,2021,Sep-Mar,3.91
Moneragala,2022,Apr-Aug,4.61
Moneragala,2022,Sep-Mar,4.1
Moneragala,2023,Apr-Aug,5.13
Moneragala,2023,Sep-Mar,3.78
Moneragala,2024,Apr-Aug,4.61
Moneragala,2024,Sep-Mar,4.46
Mullaitivu,2010,Apr-Aug,5.47
Mullaitivu,2010,Sep-Mar,4.26
Mullaitivu,2011,Apr-Aug,5.65
Mullaitivu,2011,Sep-Mar,4.05
Mullaitivu,2012,Apr-Aug,6.27
Mullaitivu,2012,Sep-Mar,4.42
Mullaitivu,2013,Apr-Aug,5.77
Mullaitivu,2013,Sep-Mar,4.41
Mullaitivu,2014,Apr-Aug,5.86
Mullaitivu,2014,Sep-Mar,4.09
Mullaitivu,2015,Apr-Aug,5.54
Mullaitivu,2015,Sep-Mar,4.08
Mullaitivu,2016,Apr-Aug,5.53
Mullaitivu,2016,Sep-Mar,4.77
Mullaitivu,2017,Apr-Aug,5.88
Mullaitivu,2017,Sep-Mar,4.13
Mullaitivu,2018,Apr-Aug,5.57
Mullaitivu,2018,Sep-Mar,4.1
Mullaitivu,2019,Apr-Aug,5.97
Mullaitivu,2019,Sep-Mar,4.22
Mullaitivu,2020,Apr-Aug,5.32
Mullaitivu,2020,Sep-Mar,4.42
Mullaitivu,2021,Apr-Aug,5.3
Mullaitivu,2021,Sep-Mar,4.12
Mullaitivu,2022,Apr-Aug,5.25
Mullaitivu,2022,Sep-Mar,4.22
Mullaitivu,2023,Apr-Aug,5.62
Mullaitivu,2023,Sep-Mar,4.22
Mullaitivu,2024,Apr-Aug,5.05
Mullaitivu,2024,Sep-Mar,4.83
Nuwara Eliya,2010,Apr-Aug,3.27
Nuwara Eliya,2010,Sep-Mar,3.17
Nuwara Eliya,2011,Apr-Aug,3.52
Nuwara Eliya,2011,Sep-Mar,2.97
Nuwara Eliya,2012,Apr-Aug,3.58
Nuwara Eliya,2012,Sep-Mar,3.22
Nuwara Eliya,2013,Apr-Aug,3.37
Nuwara Eliya,2013,Sep-Mar,3.11
Nuwara Eliya,2014,Apr-Aug,3.54
Nuwara Eliya,2014,Sep-Mar,3.14
Nuwara Eliya,2015,Apr-Aug,3.52
Nuwara Eliya,2015,Sep-Mar,3.15
Nuwara Eliya,2016,Apr-Aug,3.48
Nuwara Eliya,2016,Sep-Mar,3.54
Nuwara Eliya,2017,Apr-Aug,3.03
Nuwara Eliya,2017,Sep-Mar,2.97
Nuwara Eliya,2018,Apr-Aug,2.77
Nuwara Eliya,2018,Sep-Mar,3.15
Nuwara Eliya,2019,Apr-Aug,3.09
Nuwara Eliya,2019,Sep-Mar,3.1
Nuwara Eliya,2020,Apr-Aug,3.07
Nuwara Eliya,2020,Sep-Mar,3.27
Nuwara Eliya,2021,Apr-Aug,2.89
Nuwara Eliya,2021,Sep-Mar,2.95
Nuwara Eliya,2022,Apr-Aug,2.7
Nuwara Eliya,2022,Sep-Mar,3.13
Nuwara Eliya,2023,Apr-Aug,3.28
Nuwara Eliya,2023,Sep-Mar,2.9
Nuwara Eliya,2024,Apr-Aug,3.53
Nuwara Eliya,2024,Sep-Mar,3.88
Polonnaruwa,2010,Apr-Aug,5.37
Polonnaruwa,2010,Sep-Mar,4.03
Polonnaruwa,2011,Apr-Aug,5.92
Polonnaruwa,2011,Sep-Mar,3.84
Polonnaruwa,2012,Apr-Aug,6.31
Polonnaruwa,2012,Sep-Mar,4.12
Polonnaruwa,2013,Apr-Aug,5.71
Polonnaruwa,2013,Sep-Mar,4.05
Polonnaruwa,2014,Apr-Aug,5.92
Polonnaruwa,2014,Sep-Mar,3.83
Polonnaruwa,2015,Apr-Aug,5.69
Polonnaruwa,2015,Sep-Mar,3.76
Polonnaruwa,2016,Apr-Aug,5.68
Polonnaruwa,2016,Sep-Mar,4.63
Polonnaruwa,2017,Apr-Aug,6.01
Polonnaruwa,2017,Sep-Mar,3.89
Polonnaruwa,2018,Apr-Aug,5.48
Polonnaruwa,2018,Sep-Mar,3.76
Polonnaruwa,2019,Apr-Aug,5.99
Polonnaruwa,2019,Sep-Mar,3.83
Polonnaruwa,2020,Apr-Aug,5.46
Polonnaruwa,2020,Sep-Mar,4.32
Polonnaruwa,2021,Apr-Aug,5.38
Polonnaruwa,2021,Sep-Mar,3.96
Polonnaruwa,2022,Apr-Aug,5.34
Polonnaruwa,2022,Sep-Mar,4.12
Polonnaruwa,2023,Apr-Aug,6.01
Polonnaruwa,2023,Sep-Mar,3.88
Polonnaruwa,2024,Apr-Aug,5.05
Polonnaruwa,2024,Sep-Mar,4.37
Puttalam,2010,Apr-Aug,3.86
Puttalam,2010,Sep-Mar,3.89
Puttalam,2011,Apr-Aug,4.08
Puttalam,2011,Sep-Mar,3.72
Puttalam,2012,Apr-Aug,4.38
Puttalam,2012,Sep-Mar,4.1
Puttalam,2013,Apr-Aug,4.03
Puttalam,2013,Sep-Mar,3.94
Puttalam,2014,Apr-Aug,4.24
Puttalam,2014,Sep-Mar,3.97
Puttalam,2015,Apr-Aug,4.1
Puttalam,2015,Sep-Mar,3.91
Puttalam,2016,Apr-Aug,4.22
Puttalam,2016,Sep-Mar,4.48
Puttalam,2017,Apr-Aug,4.32
Puttalam,2017,Sep-Mar,3.85
Puttalam,2018,Apr-Aug,4.06
Puttalam,2018,Sep-Mar,3.97
Puttalam,2019,Apr-Aug,4.49
Puttalam,2019,Sep-Mar,3.98
Puttalam,2020,Apr-Aug,4.21
Puttalam,2020,Sep-Mar,4.21
Puttalam,2021,Apr-Aug,4.23
Puttalam,2021,Sep-Mar,3.89
Puttalam,2022,Apr-Aug,4.27
Puttalam,2022,Sep-Mar,4.08
Puttalam,2023,Apr-Aug,4.78
Puttalam,2023,Sep-Mar,3.94
