precipitation_hours,sunshine_duration,wind_speed_10m_max,et0_fao_evapotranspiration,prediction,residual
14,37273.93,17.9,3.78,3.61,0.17
19,37079.63,16.9,3.6,3.38,0.22
23,36631.52,13.4,3.3,3.3,0.0
23,37218.8,17.4,3.13,3.34,-0.21
9,38572.13,9.7,4.51,3.97,0.54
5,31461.42,11.8,3.87,3.76,0.11
6,39833.09,10.4,4.27,4.38,-0.11
9,40046.66,14.0,4.32,4.09,0.23
5,39600.0,12.3,4.56,4.47,0.09
10,39696.19,10.5,3.98,4.11,-0.13
4,5013.28,10.2,2.63,2.57,0.06
9,30371.94,11.7,3.76,3.68,0.08
5,32621.46,9.8,3.93,3.9,0.03
13,23939.5,9.8,3.21,3.18,0.03
15,23178.62,7.2,2.39,2.76,-0.37
20,7570.3,8.7,1.81,2.09,-0.28
18,28937.85,15.8,3.22,3.2,0.02
24,0.0,9.8,0.81,1.44,-0.63
24,0.0,26.3,0.96,1.4,-0.44
23,0.0,23.3,1.45,1.48,-0.03
24,11040.28,25.8,2.13,1.99,0.14
17,36929.14,22.9,3.33,3.49,-0.16
24,19841.77,19.9,2.38,2.43,-0.05
19,26183.22,18.4,2.92,2.84,0.08
16,23275.58,14.8,2.56,2.88,-0.32
20,22701.27,16.8,2.94,2.78,0.16
19,28927.14,20.6,3.34,3.1,0.24
23,22020.27,16.9,2.62,2.65,-0.03
13,36112.71,19.2,3.72,3.67,0.05
18,34591.21,17.5,3.42,3.36,0.06
23,21814.64,14.8,2.42,2.8,-0.38
24,5619.23,16.3,2.11,1.55,0.56
19,25466.75,13.5,2.18,2.79,-0.61
19,36737.52,16.6,3.3,3.27,0.03
21,10903.84,13.5,1.92,2.07,-0.15
8,40473.08,17.4,4.75,4.22,0.53
3,40895.32,12.8,4.85,4.78,0.07
7,40005.46,14.1,4.47,4.33,0.14
3,34910.99,11.3,4.64,4.29,0.35
7,40047.32,15.0,4.53,4.37,0.16
2,28334.99,13.3,3.93,3.83,0.1
5,28676.14,15.3,3.91,3.8,0.11
9,36672.1,14.6,4.66,3.95,0.71
13,40432.56,16.6,4.31,4.2,0.11
14,40695.78,17.1,4.42,4.15,0.27
12,39600.0,15.2,4.34,4.01,0.33
13,34776.9,14.7,3.91,3.57,0.34
10,40940.8,15.6,4.31,4.23,0.08
24,36807.73,18.5,3.72,3.32,0.4
20,39573.02,21.6,3.42,3.76,-0.34
17,40270.76,19.0,4.2,3.8,0.4
18,39760.31,18.2,4.17,3.78,0.39
24,7990.0,21.0,2.04,2.02,0.02
17,40171.71,19.9,4.34,3.89,0.45
19,31493.12,22.2,3.42,3.15,0.27
