precipitation_hours,sunshine_duration,wind_speed_10m_max,et0_fao_evapotranspiration,prediction,residual
22,5576.75,27.0,2.11,2.14,-0.03
10,4200.28,13.3,1.55,2.14,-0.59
22,0.0,26.5,1.39,2.14,-0.75
21,12558.23,15.0,1.93,2.14,-0.21
22,11338.63,16.6,2.47,2.14,0.33
21,9997.26,19.6,1.81,2.15,-0.34
21,10903.84,13.5,1.92,2.15,-0.23
23,9171.74,13.2,2.06,2.15,-0.09
23,13823.37,13.8,2.12,2.15,-0.03
21,10007.88,19.6,1.84,2.15,-0.31
21,10974.5,13.5,1.92,2.15,-0.23
23,12250.2,16.9,2.18,2.15,0.03
23,15282.46,13.3,2.34,2.15,0.19
23,13852.06,15.3,2.36,2.15,0.21
21,9414.5,12.5,2.21,2.15,0.06
21,9779.93,5.8,1.79,2.15,-0.36
10,2871.18,5.8,1.78,2.15,-0.37
23,13496.71,14.7,1.92,2.15,-0.23
21,15566.08,12.5,2.43,2.15,0.28
13,320.37,17.9,2.44,2.16,0.28
23,12168.45,11.6,2.06,2.16,-0.1
11,6524.09,14.2,2.47,2.16,0.31
21,14749.04,17.9,2.62,2.16,0.46
11,0.0,14.4,1.46,2.16,-0.7
9,0.0,12.7,1.87,2.16,-0.29
9,1342.61,12.9,1.78,2.16,-0.38
23,10866.01,11.9,2.28,2.16,0.12
23,8576.96,12.2,1.98,2.16,-0.18
21,14397.35,18.7,1.78,2.16,-0.38
23,11190.94,12.2,1.95,2.16,-0.21
22,13420.54,13.9,2.15,2.17,-0.02
23,7929.12,18.9,2.4,2.17,0.23
19,11778.67,7.2,2.06,2.17,-0.11
20,15466.79,5.2,2.29,2.17,0.12
19,14719.63,18.3,1.57,2.17,-0.6
24,12789.68,19.9,2.67,2.17,0.5
24,7325.85,20.4,2.29,2.17,0.12
12,2115.87,14.8,2.12,2.17,-0.05
18,14152.77,7.3,2.23,2.17,0.06
18,8684.43,7.2,1.95,2.17,-0.22
22,10075.75,11.3,2.4,2.17,0.23
22,8499.46,11.9,1.98,2.17,-0.19
24,9343.5,19.7,1.74,2.17,-0.43
20,7769.33,17.4,1.47,2.17,-0.7
19,9494.17,10.4,2.09,2.18,-0.09
19,14741.15,16.2,2.19,2.18,0.01
19,13064.08,10.3,2.25,2.18,0.07
19,9580.33,10.7,2.11,2.18,-0.07
19,9497.31,10.4,2.09,2.18,-0.09
17,14156.99,9.1,1.78,2.18,-0.4
23,14750.17,19.5,2.39,2.18,0.21
23,12152.94,19.4,2.51,2.18,0.33
24,9037.99,24.1,2.21,2.18,0.03
19,15621.51,10.7,2.17,2.18,-0.01
23,9132.61,19.1,1.87,2.18,-0.31
19,12031.37,8.5,2.66,2.18,0.48
13,0.0,5.0,1.52,2.18,-0.66
9,0.0,10.5,1.97,2.19,-0.22
18,12628.26,10.7,1.93,2.19,-0.26
17,11133.73,6.6,1.98,2.19,-0.21
14,525.79,25.6,1.72,2.19,-0.47
12,856.37,11.6,1.93,2.19,-0.26
10,0.0,8.9,1.74,2.19,-0.45
10,5671.65,8.8,2.34,2.19,0.15
19,13598.57,21.7,2.21,2.19,0.02
9,0.0,6.1,1.65,2.19,-0.54
17,13989.96,7.6,2.37,2.19,0.18
19,8620.94,21.4,1.55,2.19,-0.64
18,14194.25,10.5,2.47,2.19,0.28
19,2320.66,27.0,2.18,2.2,-0.02
23,2221.72,33.5,2.27,2.2,0.07
19,11202.11,19.9,2.08,2.2,-0.12
21,10930.88,20.2,1.75,2.2,-0.45
20,9796.9,11.9,2.04,2.2,-0.16
18,15202.58,5.9,2.13,2.2,-0.07
12,5114.38,5.6,2.01,2.2,-0.19
21,13214.63,21.7,2.42,2.2,0.22
21,13273.09,21.7,2.35,2.2,0.15
23,0.0,33.4,1.71,2.2,-0.49
23,4840.89,33.6,2.66,2.2,0.46
19,0.0,26.8,2.06,2.2,-0.14
23,12701.37,6.4,2.24,2.2,0.04
19,12525.25,7.0,2.11,2.2,-0.09
23,11102.96,7.0,2.24,2.2,0.04
20,9681.55,19.4,2.09,2.21,-0.12
20,10995.27,18.2,2.13,2.21,-0.08
10,186.65,19.5,2.05,2.21,-0.16
20,12001.26,18.9,2.52,2.21,0.31
20,9745.75,19.4,2.05,2.21,-0.16
20,11054.17,18.2,2.15,2.21,-0.06
20,14063.78,18.6,2.6,2.21,0.39
15,8278.49,4.8,1.47,2.21,-0.74
21,12544.93,22.2,2.35,2.21,0.14
11,3244.23,15.8,2.12,2.21,-0.09
19,13843.11,15.9,2.79,2.21,0.58
20,15728.18,18.4,2.55,2.21,0.34
20,14086.53,18.0,2.51,2.21,0.3
19,7790.08,14.3,2.0,2.22,-0.22
19,10045.19,10.2,2.31,2.22,0.09
18,13907.81,18.9,1.93,2.22,-0.29
21,10503.81,20.7,2.5,2.22,0.28
22,7677.38,22.6,1.69,2.22,-0.53
21,15580.31,20.6,2.54,2.22,0.32
20,13166.63,14.1,2.55,2.22,0.33
20,13870.01,12.5,2.88,2.22,0.66
24,12712.31,27.3,2.35,2.22,0.13
19,11805.73,15.5,2.1,2.23,-0.13
19,9170.14,15.4,2.15,2.23,-0.08
19,11373.41,15.5,1.78,2.23,-0.45
13,1398.0,15.6,2.29,2.23,0.06
19,11803.08,15.5,2.09,2.23,-0.14
19,7534.37,15.2,2.41,2.23,0.18
11,3321.79,12.0,2.42,2.23,0.19
11,3303.25,12.0,2.42,2.23,0.19
20,9218.33,13.9,2.37,2.23,0.14
19,10610.42,21.1,2.73,2.23,0.5
19,15083.18,21.2,2.18,2.23,-0.05
13,5919.44,14.6,2.68,2.23,0.45
20,10312.71,21.4,2.34,2.23,0.11
18,8274.79,10.1,2.14,2.23,-0.09
15,14534.5,9.2,1.96,2.23,-0.27
18,13177.51,19.5,1.99,2.23,-0.24
16,15661.54,16.3,2.61,2.24,0.37
15,11852.08,7.4,2.44,2.24,0.2
24,8224.35,37.8,1.17,2.24,-1.07
22,9241.32,19.9,2.73,2.24,0.49
20,14400.0,24.2,2.2,2.24,-0.04
